gene,gene,protein,sites,N,T,positive_sites,negative_sites,diff_sites,RELAX_overall_pval,RELAX_K,BUSTED_omega3,BUSTED_prop_sites_in_omega3,BUSTED_pval,dN/dS
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1,PB2,polymerase,759,4311,9.749382663,16,673,1,5.86E-06,1.372121965,10.57453895,0.82321636,0,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_308665.1_2,PB1,polymerase,757,4190,9.302176949,6,662,1,0.000512184,0.625757891,5.621952363,0.848932618,0.00028644,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_473348.1_3,PB1-F2,PB1-F2 protein,90,1244,8.803541071,49,3,2,2.59E-06,2.803353532,10.00424704,58.26898644,0,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_006495800.1_5,PA-X,PA-X protein,252,2569,8.648229578,27,175,53,0,3.59609075,17.44306477,1.358187182,1.63E-11,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4,PA,polymerase,716,4284,9.05494581,10,599,2,6.74E-05,0.359587164,8.625999905,1.202401258,7.22E-16,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007360.1_cds_YP_308667.1_7,NP,nucleocapsid protein,498,3390,7.658089512,6,428,1,1.84E-06,0.546156939,7.176156684,0.351974104,0.051948518,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8,NA,neuraminidase,469,4047,12.30213684,19,363,1,0.37104257,1.350933406,4.065014559,2.183169445,0.001156114,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007362.1_cds_YP_308669.1_6,HA,hemagglutinin,568,4594,11.75357878,22,466,2,0.003387204,6.536440378,1,10.52635423,0.5,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308670.1_9,M2,matrix protein 2,97,980,4.47821711,19,20,1,0.44472805,0.019907451,1.271566481,6.548376192,0.5,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10,M1,matrix protein 1,252,2076,5.762947161,1,192,1,0.724651121,0.924527074,1.004661329,0,0.5,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11,NEP,nonstructural protein 2,121,1430,6.452358894,5,58,1,0.325195824,0.565464749,2.979407293,4.420784247,0.126775752,0
GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308673.1_12,NS1,nonstructural protein 1,230,2574,8.716863096,33,116,0,0.003905432,1.925155898,2.644552452,12.62841835,0.000189258,0
